branchName, Run2, Run3
Photon_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
Photon_cutBased_Fall17V1Bitmap, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Photon_dEscaleDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEscaleUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEsigmaDown, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_dEsigmaUp, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_eCorr, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_mass, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_mvaID_Fall17V1p1, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_pdgId, ROOT::VecOps::RVec<Int_t>, NOT AVAILABLE
Photon_pfRelIso03_all, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Photon_pfRelIso03_chg, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
SubJet_btagCSVV2, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
Tau_cleanmask, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
boostedTau_idMVAoldDMdR032017v2, ROOT::VecOps::RVec<UChar_t>, NOT AVAILABLE
boostedTau_rawMVAoldDMdR032017v2, ROOT::VecOps::RVec<Float_t>, NOT AVAILABLE
btagWeight_CSVV2, Float_t, NOT AVAILABLE
btagWeight_DeepCSVB, Float_t, NOT AVAILABLE
fixedGridRhoFastjetAll, Float_t, NOT AVAILABLE
fixedGridRhoFastjetCentral, Float_t, NOT AVAILABLE
fixedGridRhoFastjetCentralCalo, Float_t, NOT AVAILABLE
fixedGridRhoFastjetCentralChargedPileUp, Float_t, NOT AVAILABLE
fixedGridRhoFastjetCentralNeutral, Float_t, NOT AVAILABLE
BeamSpot_sigmaZ, NOT AVAILABLE, Float_t
