branchName, type_Run2, type_Run3
nLHEScaleWeight, UInt_t, Int_t
nLowPtElectron, UInt_t, Int_t
nMuon, UInt_t, Int_t
nOtherPV, UInt_t, Int_t
nPSWeight, UInt_t, Int_t
nPhoton, UInt_t, Int_t
nSV, UInt_t, Int_t
nSoftActivityJet, UInt_t, Int_t
nSubGenJetAK8, UInt_t, Int_t
nSubJet, UInt_t, Int_t
nTau, UInt_t, Int_t
nTrigObj, UInt_t, Int_t
nboostedTau, UInt_t, Int_t
